n,seed,mode,base_model,iters,iter,mean_perplexity,median_perplexity,std_perplexity,distinct_2,mean_pairwise_dist,frobenius,hsd
3,1,model_family,n/a,12,4,,,,0.967391304347826,0.7906656265258789,2.014296054840088,2.715049787866905
3,1,model_family,n/a,12,5,,,,0.9336734693877551,0.6682398915290833,1.8471918106079102,2.2925717994240844
3,1,model_family,n/a,12,6,,,,0.968421052631579,0.7114498019218445,1.8634003400802612,2.534811955142341
3,1,model_family,n/a,12,7,,,,0.9321266968325792,0.6575745940208435,1.844196081161499,2.228763028561061
3,1,model_family,n/a,12,8,,,,0.9471153846153846,0.6922184824943542,1.853588342666626,2.4342900971699764
3,1,model_family,n/a,12,9,,,,0.957345971563981,0.679451048374176,1.8666189908981323,2.3257589453911307
3,1,model_family,n/a,12,10,,,,0.9606741573033708,0.7455928921699524,1.9132450819015503,2.6460879500248544
3,1,model_family,n/a,12,11,,,,0.9468599033816425,0.68239825963974,1.7622817754745483,2.550853655645917
3,1,model_family,n/a,12,12,,,,0.9536082474226805,0.7822677493095398,2.0179874897003174,2.6564789630062466
3,2,model_family,n/a,12,1,,,,0.9702380952380952,0.7644987106323242,1.9299618005752563,2.729222138931689
3,2,model_family,n/a,12,2,,,,0.9754901960784313,0.8194694519042969,2.0407798290252686,2.8362979453217068
3,2,model_family,n/a,12,3,,,,0.99375,0.8393365740776062,2.0662763118743896,2.9033819451281317
3,2,model_family,n/a,12,4,,,,0.9487179487179487,0.7380769848823547,1.9228912591934204,2.5805608245120544
3,2,model_family,n/a,12,5,,,,0.961352657004831,0.7254390120506287,1.8737812042236328,2.6016497509397762
3,2,model_family,n/a,12,6,,,,0.9624413145539906,0.7386091351509094,1.9237645864486694,2.5820440118672585
3,2,model_family,n/a,12,7,,,,0.9479166666666666,0.7397721409797668,1.9089367389678955,2.619363618525575
3,2,model_family,n/a,12,8,,,,0.9513513513513514,0.7465322613716125,1.9289774894714355,2.62047391132623
3,2,model_family,n/a,12,9,,,,0.9747474747474747,0.7465817928314209,1.909764289855957,2.6598340556967797
3,2,model_family,n/a,12,10,,,,0.9633507853403142,0.6597718596458435,1.7591272592544556,2.4159847303175503
3,2,model_family,n/a,12,11,,,,0.9629629629629629,0.7530730366706848,1.9722659587860107,2.571879464966155
3,2,model_family,n/a,12,12,,,,0.953125,0.8033939003944397,1.985458254814148,2.8539442976471348
4,0,model_family,n/a,10,1,,,,0.8877551020408163,0.7378720641136169,2.783600330352783,3.0083160410739627
4,0,model_family,n/a,10,2,,,,0.9038461538461539,0.8314862847328186,3.022238254547119,3.420303109197698
4,0,model_family,n/a,10,3,,,,0.9061032863849765,0.7430086135864258,2.802084445953369,3.015859714726383
4,0,model_family,n/a,10,4,,,,0.9241706161137441,0.8427501320838928,3.0073695182800293,3.589219572735614
4,0,model_family,n/a,10,5,,,,0.9107981220657277,0.809763491153717,2.893782138824463,3.53173609025953
4,0,model_family,n/a,10,6,,,,0.9162011173184358,0.7379441261291504,2.7647347450256348,3.0652316570904143
4,0,model_family,n/a,10,7,,,,0.9054726368159204,0.7961888313293457,2.9198296070098877,3.308068624572525
4,0,model_family,n/a,10,8,,,,0.892018779342723,0.7089702486991882,2.630058526992798,3.0954184695124547
4,0,model_family,n/a,10,9,,,,0.9278350515463918,0.8040679097175598,2.9120824337005615,3.4194877425934425
4,0,model_family,n/a,10,10,,,,0.8921568627450981,0.7532811164855957,2.7740278244018555,3.220428475561673
4,1,model_family,n/a,10,1,,,,0.9108910891089109,0.8155325055122375,2.9286739826202393,3.5013485634499486
4,1,model_family,n/a,10,2,,,,0.9267241379310345,0.8217868804931641,2.9375364780426025,3.5481161054235932
4,1,model_family,n/a,10,3,,,,0.91005291005291,0.7546252608299255,2.7472190856933594,3.309700857808528
4,1,model_family,n/a,10,4,,,,0.9109947643979057,0.7558637261390686,2.8016374111175537,3.173946517915077
4,1,model_family,n/a,10,5,,,,0.9174757281553398,0.7623389363288879,2.8308217525482178,3.1680374407146155
4,1,model_family,n/a,10,6,,,,0.9070796460176991,0.7289500832557678,2.7125167846679688,3.1049489511561355
4,1,model_family,n/a,10,7,,,,0.9234449760765551,0.791379451751709,2.888805627822876,3.3404959999258197
4,1,model_family,n/a,10,8,,,,0.9146919431279621,0.7557599544525146,2.7906551361083984,3.203053523384959
4,1,model_family,n/a,10,9,,,,0.9166666666666666,0.7530086636543274,2.7804689407348633,3.1996879011373736
4,1,model_family,n/a,10,10,,,,0.8899082568807339,0.7216061949729919,2.7438037395477295,2.9234614157275174
4,2,model_family,n/a,10,1,,,,0.8878504672897196,0.8063604235649109,2.9114649295806885,3.4459608035294664
4,2,model_family,n/a,10,2,,,,0.898876404494382,0.771873950958252,2.820598840713501,3.3065132696738413
4,2,model_family,n/a,10,3,,,,0.8703703703703703,0.7317463755607605,2.7755181789398193,2.9551981722455936
4,2,model_family,n/a,10,4,,,,0.8932584269662921,0.7487100958824158,2.7922816276550293,3.1142474071818858
4,2,model_family,n/a,10,5,,,,0.8950276243093923,0.744347095489502,2.721662998199463,3.2606186657160166
4,2,model_family,n/a,10,6,,,,0.8944954128440367,0.7947969436645508,2.87872052192688,3.4061742893319065
4,2,model_family,n/a,10,7,,,,0.9142857142857143,0.7450148463249207,2.7857508659362793,3.091078353985133
4,2,model_family,n/a,10,8,,,,0.8920454545454546,0.7557833194732666,2.8033950328826904,3.167430600037929
4,2,model_family,n/a,10,9,,,,0.9055555555555556,0.7487053275108337,2.8012349605560303,3.091351782136622
4,2,model_family,n/a,10,10,,,,0.9005524861878453,0.7637359499931335,2.789060354232788,3.2999226719445125
